system,case_id,question,run_number,latency_seconds,llm_calls,document_retrieval_calls,other_tool_calls,total_tool_calls,reasoning_turns,input_tokens,output_tokens,total_tokens,token_usage_complete,retrieved_document_chars,tool_observation_chars,fact_hits,fact_hit_count,expected_fact_count,expected_facts,forbidden_fact_violations,forbidden_facts,reflection_rejected,deprecated_model_name,unsupported_response_trigger
Classical RAG,1,"How does AI Grid handle image inputs, and is that different for scanned documents versus photos?",1,0.20482475100016018,1,1,0,1,,2981,246,3227,True,4186,,"{""GLM-OCR"": true, ""deepseek-ocr"": true}",2,2,"[""deepseek-ocr"", ""GLM-OCR""]",0,[],False,False,False
Classical RAG,1,"How does AI Grid handle image inputs, and is that different for scanned documents versus photos?",2,0.18709078300025794,1,1,0,1,,2981,246,3227,True,4186,,"{""GLM-OCR"": true, ""deepseek-ocr"": true}",2,2,"[""deepseek-ocr"", ""GLM-OCR""]",0,[],False,False,False
Classical RAG,1,"How does AI Grid handle image inputs, and is that different for scanned documents versus photos?",3,0.2682113770001706,1,1,0,1,,2981,246,3227,True,4186,,"{""GLM-OCR"": true, ""deepseek-ocr"": true}",2,2,"[""deepseek-ocr"", ""GLM-OCR""]",0,[],False,False,False
Agentic RAG,1,"How does AI Grid handle image inputs, and is that different for scanned documents versus photos?",1,0.3999054280002383,3,1,0,1,2,6913,498,7411,True,3242,3463,"{""GLM-OCR"": true, ""deepseek-ocr"": true}",2,2,"[""deepseek-ocr"", ""GLM-OCR""]",0,[],False,False,False
Agentic RAG,1,"How does AI Grid handle image inputs, and is that different for scanned documents versus photos?",2,0.3634664490000432,3,1,0,1,2,6913,498,7411,True,3242,3463,"{""GLM-OCR"": true, ""deepseek-ocr"": true}",2,2,"[""deepseek-ocr"", ""GLM-OCR""]",0,[],False,False,False
Agentic RAG,1,"How does AI Grid handle image inputs, and is that different for scanned documents versus photos?",3,0.380387212000187,3,1,0,1,2,6913,498,7411,True,3242,3463,"{""GLM-OCR"": true, ""deepseek-ocr"": true}",2,2,"[""deepseek-ocr"", ""GLM-OCR""]",0,[],False,False,False
Classical RAG,2,What is Qwen3-30B-A3B-Thinking used for?,1,0.20953398599976936,1,1,0,1,,2974,141,3115,True,4248,,"{""Qwen3-30B-A3B-Thinking"": true, ""reasoning"": true}",2,2,"[""Qwen3-30B-A3B-Thinking"", ""reasoning""]",0,[],False,False,False
Classical RAG,2,What is Qwen3-30B-A3B-Thinking used for?,2,0.19595198000024538,1,1,0,1,,2974,141,3115,True,4248,,"{""Qwen3-30B-A3B-Thinking"": true, ""reasoning"": true}",2,2,"[""Qwen3-30B-A3B-Thinking"", ""reasoning""]",0,[],False,False,False
Classical RAG,2,What is Qwen3-30B-A3B-Thinking used for?,3,0.24788638500012894,1,1,0,1,,2974,141,3115,True,4248,,"{""Qwen3-30B-A3B-Thinking"": true, ""reasoning"": true}",2,2,"[""Qwen3-30B-A3B-Thinking"", ""reasoning""]",0,[],False,False,False
Agentic RAG,2,What is Qwen3-30B-A3B-Thinking used for?,1,0.39215854499980196,3,1,0,1,2,7741,358,8099,True,4297,4606,"{""Qwen3-30B-A3B-Thinking"": true, ""reasoning"": true}",2,2,"[""Qwen3-30B-A3B-Thinking"", ""reasoning""]",0,[],False,False,False
Agentic RAG,2,What is Qwen3-30B-A3B-Thinking used for?,2,0.3753051310000046,3,1,0,1,2,7741,358,8099,True,4297,4606,"{""Qwen3-30B-A3B-Thinking"": true, ""reasoning"": true}",2,2,"[""Qwen3-30B-A3B-Thinking"", ""reasoning""]",0,[],False,False,False
Agentic RAG,2,What is Qwen3-30B-A3B-Thinking used for?,3,1.0263361180000174,3,1,0,1,2,7741,358,8099,True,4297,4606,"{""Qwen3-30B-A3B-Thinking"": true, ""reasoning"": true}",2,2,"[""Qwen3-30B-A3B-Thinking"", ""reasoning""]",0,[],False,False,False
